Date,Open,High,Low,Settle,Volume
17/05/2011,7342,7377.5,7251.5,7280.5,183374
18/05/2011,7330,7350,7268,7313,128740
19/05/2011,7345,7429,7321,7353.5,156016
20/05/2011,7384,7417.5,7232.5,7271.5,159677
23/05/2011,7200,7202,7107,7139,143635
24/05/2011,7130,7209,7121,7150,141285
25/05/2011,7078,7207.5,7067.5,7180.5,145511
26/05/2011,7200.5,7221.5,7091,7118.5,156420
27/05/2011,7190,7211,7117.5,7169,120752
30/05/2011,7153.5,7209,7143,7167,33803
31/05/2011,7231.5,7337.5,7222,7296,138958
01/06/2011,7345,7347.5,7131,7226.5,158178
02/06/2011,7145,7161,7069.5,7088,155017
03/06/2011,7100,7148.5,7023,7103,161102
06/06/2011,7100,7128.5,7042,7093.5,144983
07/06/2011,7066,7152,7066,7110,150039
08/06/2011,7060,7092,6992.5,7057,166315
09/06/2011,7050,7192.5,7035.5,7156.5,154602
10/06/2011,7147,7185,7046,7074,159799
13/06/2011,7066,7125.5,7042,7092.5,108331
14/06/2011,7131.5,7234,7126,7201,219644
15/06/2011,7191.5,7203.5,7072,7120,251111
16/06/2011,7065,7118.5,7016.5,7107,194085
17/06/2011,7076.5,7166.5,7036,7203.67,41405
20/06/2011,7138,7195,7086,7179.5,135046
21/06/2011,7199,7339,7198.5,7305,137633
22/06/2011,7308.5,7337,7276,7311.5,133581
23/06/2011,7261.5,7275.5,7143,7171,160895
24/06/2011,7259,7298,7121,7152,190850
27/06/2011,7119,7171.5,7101.5,7131,115563
28/06/2011,7149.5,7233.5,7098,7194.5,153919
29/06/2011,7224,7345,7223.5,7322.5,155464
30/06/2011,7344,7415.5,7309,7391.5,117482
01/07/2011,7419.5,7477,7380,7435,120661
04/07/2011,7449,7474,7438.5,7463,47429
05/07/2011,7466,7499,7445.5,7471,113592
06/07/2011,7490.5,7495,7419,7450.5,129567
07/07/2011,7505,7540,7464,7498,119729
08/07/2011,7524.5,7547,7411,7427,149262
11/07/2011,7410,7416.5,7209.5,7255,174261
12/07/2011,7163,7225,7014.5,7195,224857
13/07/2011,7180.5,7301.5,7167.5,7289,165256
14/07/2011,7220,7290,7176,7244,152590
15/07/2011,7217,7274,7157,7250,148888
18/07/2011,7207.5,7212.5,7106.5,7143.5,154474
19/07/2011,7154,7256.5,7151,7208,146117
20/07/2011,7255,7282,7182.5,7236.5,148021
21/07/2011,7260.5,7344.5,7156.5,7311.5,201354
22/07/2011,7359,7373.5,7281.5,7336.5,123238
25/07/2011,7288,7384.5,7274.5,7370.5,121696
26/07/2011,7371,7399,7317.5,7370.5,127390
27/07/2011,7346,7362,7203,7270,151964
28/07/2011,7201,7221,7125.5,7211,164946
29/07/2011,7090.5,7206.5,7078.5,7181,152894
01/08/2011,7260,7299,6860,7004.5,216405
02/08/2011,6957,6972.5,6714.5,6822.5,224559
03/08/2011,6712,6797.5,6551.5,6645,252387
04/08/2011,6700,6750.5,6257.5,6417,307791
05/08/2011,6261.5,6449.5,6125,6257.5,363965
08/08/2011,6081.5,6283.5,5717.5,5962.5,363032
09/08/2011,5748,6034.5,5497.5,5941,394271
10/08/2011,5990,6121,5541,5609.5,333244
11/08/2011,5771,5951.5,5491.5,5812.5,288001
12/08/2011,5818.5,6067.5,5680,5994.5,206477
15/08/2011,6077,6112,6010.5,6026.5,125183
16/08/2011,6037.5,6050,5851.5,5999,176666
17/08/2011,5964,6023,5875,5956,156095
18/08/2011,5867,5898,5533.5,5596.5,248508
19/08/2011,5538,5598,5346,5499,255492
22/08/2011,5411,5595,5393,5475.5,164628
